time,tls,selected_phase,max_queue,avg_queue,phase_switched
15,A1,1,1,0.16666666666666666,1
15,B0,0,0,0,0
15,B1,1,1,0.125,1
15,B2,0,0,0,0
15,C1,0,0,0,0
16,B0,0,0,0,0
16,B2,1,1,0.16666666666666666,1
16,C1,0,0,0,0
17,B0,0,0,0,0
17,C1,0,0,0,0
18,B0,0,0,0,0
18,C1,0,0,0,0
19,B0,0,0,0,0
19,C1,0,0,0,0
20,B0,0,0,0,0
20,C1,0,0,0,0
21,B0,0,0,0,0
21,C1,0,0,0,0
22,B0,0,0,0,0
22,C1,0,0,0,0
23,B0,1,1,0.16666666666666666,1
23,C1,0,0,0,0
24,C1,0,0,0,0
25,C1,0,0,0,0
26,C1,0,0,0,0
27,C1,0,0,0,0
28,C1,0,0,0,0
29,C1,0,0,0,0
30,A1,3,1,0.16666666666666666,1
30,B1,3,1,0.125,1
30,C1,0,0,0,0
31,B2,3,1,0.16666666666666666,1
31,C1,1,1,0.16666666666666666,1
38,B0,2,0,0,0
39,B0,2,0,0,0
40,B0,2,0,0,0
41,B0,2,0,0,0
42,B0,2,0,0,0
43,B0,2,0,0,0
44,B0,2,0,0,0
45,A1,1,3,0.5,1
45,B0,2,0,0,0
45,B1,1,3,0.5,1
46,B0,2,0,0,0
46,B2,1,1,0.5,1
46,C1,2,0,0,0
47,B0,2,0,0,0
47,C1,3,1,0.16666666666666666,1
48,B0,3,1,0.16666666666666666,1
60,A1,3,5,0.8333333333333334,1
60,B1,3,2,0.75,1
61,B2,3,1,0.16666666666666666,1
62,C1,1,1,0.3333333333333333,1
63,B0,1,1,0.16666666666666666,1
75,A1,1,2,0.5,1
75,B1,1,4,2,1
76,B2,0,0,0,0
77,B2,1,1,0.3333333333333333,1
77,C1,3,2,0.5,1
78,B0,3,1,0.16666666666666666,1
90,A1,3,7,1.5,1
90,B1,3,6,1.625,1
92,B2,3,1,0.5,1
92,C1,1,2,0.5,1
93,B0,1,3,0.8333333333333334,1
105,A1,1,2,0.5,1
105,B1,1,7,1.625,1
107,B2,1,6,2.1666666666666665,1
107,C1,3,4,1.1666666666666667,1
108,B0,3,3,1.3333333333333333,1
120,A1,3,7,1.8333333333333333,1
120,B1,3,6,2.5,1
122,B2,3,9,1.6666666666666667,1
122,C1,1,2,0.6666666666666666,1
123,B0,1,7,1.6666666666666667,1
135,A1,1,4,1.6666666666666667,1
135,B1,1,8,3.875,1
137,B2,1,7,2.1666666666666665,1
137,C1,3,6,1.1666666666666667,1
138,B0,3,7,1.8333333333333333,1
150,A1,3,7,1.5,1
150,B1,3,5,2.625,1
152,B2,3,6,2,1
152,C1,1,4,1.6666666666666667,1
153,B0,1,7,2.6666666666666665,1
165,A1,1,6,2.5,1
165,B1,1,8,3.75,1
167,B2,1,6,2.1666666666666665,1
167,C1,3,9,2.3333333333333335,1
168,B0,3,11,2.5,1
180,A1,3,9,2.3333333333333335,1
180,B1,3,7,2.875,1
182,B2,3,6,2.1666666666666665,1
182,C1,1,7,2.8333333333333335,1
183,B0,1,13,4,1
195,A1,1,6,2.3333333333333335,1
195,B1,1,8,3.625,1
197,B2,1,7,2.5,1
197,C1,3,8,1.8333333333333333,1
198,B0,3,12,2.1666666666666665,1
210,A1,3,10,3.3333333333333335,1
210,B1,3,7,3.75,1
212,B2,3,7,3.6666666666666665,1
212,C1,1,6,2.6666666666666665,1
213,B0,1,9,4.333333333333333,1
225,A1,1,7,2.1666666666666665,1
225,B1,1,11,6.125,1
227,B2,1,7,3.1666666666666665,1
227,C1,3,7,2.5,1
228,B0,3,14,3.8333333333333335,1
240,A1,3,10,2.8333333333333335,1
240,B1,3,9,6.625,1
242,B2,3,6,3.3333333333333335,1
242,C1,1,3,0.8333333333333334,1
243,B0,1,12,4.666666666666667,1
255,A1,1,7,3,1
255,B1,1,16,6.875,1
257,B2,1,7,2.6666666666666665,1
257,C1,3,7,2.6666666666666665,1
258,B0,3,13,3.3333333333333335,1
270,A1,3,14,3.1666666666666665,1
270,B1,3,17,8.125,1
272,B2,3,7,4,1
272,C1,1,8,2,1
273,B0,1,9,3.6666666666666665,1
285,A1,1,10,4.5,1
285,B1,1,18,7.875,1
287,B2,1,8,3.1666666666666665,1
