time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,phase_switched
10,A1,0,2.0,1.0,1.0,0
10,B0,0,0.0,0.0,0.0,0
10,B1,2,2.0,0.0,2.0,1
10,B2,0,0.0,0.0,0.0,0
10,C1,1,-1.0,-1.0,0.0,1
20,A1,1,0.0,0.0,0.0,1
20,B0,0,0.0,0.0,0.0,0
20,B1,1,0.0,0.0,0.0,1
20,B2,2,1.0,0.0,1.0,1
20,C1,0,0.0,0.0,0.0,1
30,A1,1,0.0,0.0,0.0,1
30,B0,0,0.0,0.0,0.0,0
30,B1,0,2.0,0.0,2.0,1
30,B2,0,1.0,0.0,1.0,1
30,C1,1,0.0,0.0,0.0,1
40,A1,0,10.0,0.0,10.0,1
40,B0,0,-1.0,-1.0,0.0,0
40,B1,2,5.0,4.0,1.0,1
40,B2,0,1.0,0.0,1.0,0
40,C1,1,-1.0,-1.0,0.0,1
50,A1,2,3.0,0.0,3.0,1
50,B0,1,0.0,0.0,0.0,1
50,B1,1,0.0,0.0,0.0,1
50,B2,2,5.0,0.0,5.0,1
50,C1,0,-1.0,-1.0,0.0,1
60,A1,0,11.0,0.0,11.0,1
60,B0,0,0.0,-1.0,1.0,1
60,B1,0,15.0,0.0,15.0,1
60,B2,1,-1.0,-1.0,0.0,1
60,C1,2,3.0,0.0,3.0,1
70,A1,2,2.0,-1.0,3.0,1
70,B0,0,0.0,0.0,0.0,0
70,B1,2,11.0,0.0,11.0,1
70,B2,0,9.0,0.0,9.0,1
70,C1,1,-2.0,-2.0,0.0,1
80,A1,0,13.0,0.0,13.0,1
80,B0,2,1.0,-1.0,2.0,1
80,B1,0,17.0,4.0,13.0,1
80,B2,2,0.0,-1.0,1.0,1
80,C1,0,6.0,0.0,6.0,1
90,A1,0,6.0,3.0,3.0,0
90,B0,0,5.0,-1.0,6.0,1
90,B1,2,13.0,5.0,8.0,1
90,B2,0,2.0,0.0,2.0,1
90,C1,2,3.0,-4.0,7.0,1
100,A1,0,30.0,14.0,16.0,0
100,B0,2,6.0,0.0,6.0,1
100,B1,0,12.0,0.0,12.0,1
100,B2,1,-1.0,-1.0,0.0,1
100,C1,0,12.0,1.0,11.0,1
110,A1,0,22.0,18.0,4.0,0
110,B0,0,15.0,3.0,12.0,1
110,B1,2,18.0,8.0,10.0,1
110,B2,0,3.0,0.0,3.0,1
110,C1,1,-6.0,-6.0,0.0,1
120,A1,2,36.0,16.0,20.0,1
120,B0,2,14.0,0.0,14.0,1
120,B1,1,0.0,0.0,0.0,1
120,B2,2,9.0,-1.0,10.0,1
120,C1,0,16.0,1.0,15.0,1
130,A1,0,21.0,3.0,18.0,1
130,B0,0,10.0,-1.0,11.0,1
130,B1,0,26.0,0.0,26.0,1
130,B2,0,5.0,-4.0,9.0,1
130,C1,0,9.0,8.0,1.0,0
140,A1,2,5.0,2.0,3.0,1
140,B0,2,10.0,6.0,4.0,1
140,B1,2,3.0,0.0,3.0,1
140,B2,2,11.0,2.0,9.0,1
140,C1,2,8.0,-5.0,13.0,1
150,A1,0,15.0,3.0,12.0,1
150,B0,0,13.0,-2.0,15.0,1
150,B1,0,34.0,10.0,24.0,1
150,B2,0,4.0,-3.0,7.0,1
150,C1,0,0.0,-2.0,2.0,1
160,A1,2,11.0,-4.0,15.0,1
160,B0,0,14.0,13.0,1.0,0
160,B1,2,8.0,0.0,8.0,1
160,B2,2,17.0,15.0,2.0,1
160,C1,2,5.0,-5.0,10.0,1
170,A1,0,17.0,8.0,9.0,1
170,B0,2,32.0,-2.0,34.0,1
170,B1,2,13.0,0.0,13.0,0
170,B2,0,14.0,1.0,13.0,1
170,C1,0,12.0,-1.0,13.0,1
180,A1,2,14.0,4.0,10.0,1
180,B0,0,4.0,-1.0,5.0,1
180,B1,0,29.0,0.0,29.0,1
180,B2,2,18.0,-7.0,25.0,1
180,C1,0,14.0,1.0,13.0,0
190,A1,0,22.0,-2.0,24.0,1
190,B0,2,18.0,0.0,18.0,1
190,B1,2,26.0,0.0,26.0,1
190,B2,2,19.0,16.0,3.0,0
190,C1,0,2.0,1.0,1.0,0
200,A1,2,18.0,10.0,8.0,1
200,B0,0,8.0,-2.0,10.0,1
200,B1,0,26.0,0.0,26.0,1
200,B2,0,43.0,1.0,42.0,1
200,C1,2,15.0,0.0,15.0,1
210,A1,0,13.0,1.0,12.0,1
210,B0,2,10.0,3.0,7.0,1
210,B1,2,51.0,0.0,51.0,1
210,B2,2,11.0,2.0,9.0,1
210,C1,0,3.0,-6.0,9.0,1
220,A1,2,20.0,7.0,13.0,1
220,B0,0,-1.0,-4.0,3.0,1
220,B1,0,28.0,0.0,28.0,1
220,B2,0,22.0,-1.0,23.0,1
220,C1,2,6.0,-1.0,7.0,1
230,A1,0,7.0,3.0,4.0,1
230,B0,2,7.0,-4.0,11.0,1
230,B1,0,33.0,17.0,16.0,0
230,B2,2,10.0,2.0,8.0,1
230,C1,0,11.0,-2.0,13.0,1
240,A1,2,2.0,-8.0,10.0,1
240,B0,0,13.0,1.0,12.0,1
240,B1,2,63.0,9.0,54.0,1
240,B2,0,15.0,3.0,12.0,1
240,C1,2,-4.0,-6.0,2.0,1
250,A1,0,9.0,-2.0,11.0,1
250,B0,2,10.0,1.0,9.0,1
250,B1,2,36.0,19.0,17.0,0
250,B2,2,2.0,-2.0,4.0,1
250,C1,0,18.0,0.0,18.0,1
260,A1,2,-1.0,-6.0,5.0,1
260,B0,0,7.0,-4.0,11.0,1
260,B1,0,73.0,58.0,15.0,1
260,B2,0,8.0,-10.0,18.0,1
260,C1,2,2.0,-1.0,3.0,1
270,A1,0,10.0,-1.0,11.0,1
270,B0,2,5.0,0.0,5.0,1
270,B1,0,56.0,40.0,16.0,0
270,B2,2,-1.0,-6.0,5.0,1
270,C1,0,14.0,-4.0,18.0,1
