time,avg_speed,running,halted
1,0.0,1,1
2,0.9936278539476917,2,1
3,1.868751202647885,3,1
4,2.8492642619763506,4,1
5,3.8900217235041787,5,1
6,3.979314381988453,7,2
7,4.6226690838346265,9,2
8,5.357131968643795,11,2
9,6.1397575815981895,13,2
10,6.153360815265043,16,3
11,6.844304769688236,18,2
12,7.457623580825943,20,2
13,7.621117794558817,23,3
14,8.421867517788055,25,2
15,8.401392133050043,28,3
16,8.879755371285022,30,2
17,9.391390593182923,32,2
18,9.11479780539066,36,4
19,9.466692303786438,38,2
20,9.906669628499895,40,2
21,9.663399986550491,44,4
22,10.271318023644394,45,1
23,10.515198550060319,47,2
24,10.015089581534296,52,5
25,10.112654860037434,54,2
26,10.570811400243263,55,1
27,10.082091925603681,60,6
28,10.183762894672869,62,3
29,10.288167118179222,64,3
30,9.841639147848598,69,6
31,9.823656427039587,72,4
32,10.123731009293735,73,1
33,10.156380084417462,76,3
34,10.142386014733479,80,5
35,10.325390465654205,82,3
36,10.413148754132521,84,3
37,9.946518746466428,90,8
38,10.010267751687781,91,5
39,10.202144097514823,92,5
40,9.90534681973591,97,9
41,10.016355922796947,100,7
42,10.323590228532197,99,5
43,9.947322770374127,105,11
44,9.96845200709627,108,9
45,9.810140686143171,112,10
46,9.776827005931258,116,12
47,9.859122074916792,118,9
48,9.785612950980905,122,10
49,9.840017364956577,125,9
50,9.899299703360194,127,10
51,9.83377766705805,130,11
52,9.771876195329764,132,10
53,9.911240987370414,133,10
54,9.79663363227149,136,13
55,9.791088747871967,138,12
56,9.814468926222935,138,10
57,9.710747366021025,141,10
58,9.74372181126346,142,7
59,9.885058198139498,145,11
60,9.910020492615397,147,13
61,9.857208566698354,149,13
62,9.58580215865659,151,11
63,9.427905642422232,155,13
64,9.335468020487856,155,11
65,9.2307805911834,159,13
66,9.1813930669976,162,14
67,9.280116610111982,162,12
68,9.137720089225962,164,19
69,9.201360185949197,166,18
70,9.289091003605979,166,18
71,9.280850513313675,171,24
72,9.126853301748156,174,23
73,9.15560206772716,175,21
74,9.002252989323607,181,27
75,9.109347964062774,183,25
76,9.105498808233675,185,24
77,8.981528511222391,189,27
78,8.992197917459427,191,22
79,9.014377709996433,194,20
80,8.967823519070718,198,21
81,9.065759917754434,198,17
82,8.952100024839025,201,24
83,8.688103106727574,206,27
84,8.795679059997976,206,25
85,8.660816975397864,210,32
86,8.371248480370596,218,37
87,8.553621236328988,219,31
88,8.644152584650511,222,33
89,8.527717796402856,225,37
90,8.633966532393146,223,31
91,8.615743067801105,228,35
92,8.519590872090175,230,31
93,8.589305532781147,232,29
94,8.611279883502272,236,29
95,8.585080064126503,237,29
96,8.661465603885617,239,24
97,8.638244838391726,242,21
98,8.732071382080688,242,21
99,8.81538250437939,245,24
100,8.913865971603677,244,24
101,8.93401265977958,244,23
102,8.938045078458682,243,25
103,8.824285967650098,244,27
104,8.66833454000433,245,30
105,8.573788975517063,246,34
106,8.327335214346222,249,38
107,7.957918171554695,253,42
108,7.833426180968413,253,37
109,7.584961116411274,252,41
110,7.321727345703244,256,45
111,7.222820276221069,256,40
112,7.187237181050749,259,43
113,7.110952845206562,262,44
114,7.130596299646439,264,42
115,6.950932769768052,268,48
116,6.977930279179509,268,47
117,6.8685090966546,273,54
118,6.851545559782389,275,52
119,6.903230607167075,277,57
120,6.796715925475835,281,60
121,6.7775471127966975,283,57
122,6.713670177024047,286,56
123,6.792757263927227,289,55
124,6.68728082874409,291,56
125,6.70030154139689,294,58
126,6.700253351115552,298,55
127,6.728416763342969,301,54
128,6.792573606468926,300,56
129,6.803357755791307,304,63
130,6.829758727035908,308,64
131,6.820541464168277,309,64
132,6.690189183459554,313,68
133,6.6197268784260475,316,63
134,6.462027127245539,314,66
135,6.428147083524815,320,72
136,6.53370752903372,320,65
137,6.708741142703612,321,62
138,6.7437931776027416,323,66
139,6.774097041897614,324,62
140,6.792923087097917,324,57
141,6.65829117244066,326,59
142,6.658170340555706,328,54
143,6.577163394615932,329,57
144,6.534117273490297,330,60
145,6.60480439032204,330,56
146,6.543618677378272,332,63
147,6.493146763296684,334,61
148,6.4130606473451675,337,67
149,6.30634477282182,341,76
150,6.420128997648955,341,73
151,6.276655628640281,340,79
152,6.304954331166255,342,83
153,6.2436617156174785,343,80
154,6.150867750002034,346,79
155,6.027982071334039,348,80
156,5.972909393834832,347,79
157,5.886287284811597,350,83
158,5.813308871228372,351,84
159,5.800690104668848,353,91
160,5.913684853577145,354,89
161,5.929689281614366,354,94
162,5.996315127777597,356,87
163,6.036713805074694,360,86
164,6.094699299176638,363,86
165,6.1089842791324065,363,87
166,6.1227762640039565,363,85
167,6.075662630815426,367,81
168,6.089572524007855,367,76
169,5.955567665290585,367,80
170,5.859803234643324,372,90
171,5.862906653752546,374,82
172,5.968160969577984,374,82
173,6.053779391705099,378,77
174,6.093934590580268,379,76
175,6.030100378387188,380,78
176,5.968328253181925,379,78
177,5.931989554058076,381,85
178,5.9039407190286335,377,85
179,5.927088799433227,377,90
180,6.031408149528722,377,93
181,6.094390189024181,375,91
182,6.149281190671029,376,88
183,6.148212215517497,376,86
184,5.994269341570494,375,84
185,5.925041854108647,378,87
186,5.800171772800905,378,86
187,5.713880420784868,379,81
188,5.641295998926757,380,80
189,5.670354136682252,381,82
190,5.72899442652089,382,83
191,5.788848733800115,386,82
192,5.88176851669186,385,77
193,5.8764755869524805,388,77
194,5.925394393710058,389,71
195,5.852754855991234,390,75
196,5.86790427124413,394,85
197,5.891512620793969,395,83
198,5.80031664104986,395,85
199,5.770115712318566,399,86
200,5.781489416573316,401,81
201,5.892896255087168,400,76
202,5.93004114088159,404,73
203,5.982809176375389,406,72
204,6.018959252364362,407,71
205,6.046492601115205,408,71
206,6.008768986581145,409,72
207,5.947182405492024,413,73
208,5.937254546967534,413,70
209,5.937237369887181,414,72
210,6.042699246117219,414,74
211,6.05920428693468,414,78
212,6.001648739777147,412,79
213,5.922405901246838,415,83
214,5.9087444920382,415,78
215,5.984244540030743,417,77
216,6.02411423559773,418,79
217,5.980471472427756,418,73
218,5.952420048935129,418,73
219,5.916952583652455,419,76
220,5.8473590995993785,421,79
221,5.7766111752547005,422,75
222,5.749469374525896,422,75
223,5.67938496479047,423,74
224,5.6438241543655145,421,76
225,5.669693338485661,422,81
226,5.729992794428078,422,84
227,5.712395543893337,425,84
228,5.694738822229406,425,84
229,5.729675792792446,427,89
230,5.747743605841251,430,82
231,5.766826758889177,431,85
232,5.726765131169779,434,85
233,5.698639137403645,436,77
234,5.7090630535448765,436,80
235,5.620192422049781,438,85
236,5.629277472725008,435,84
237,5.515548151515422,434,94
238,5.46247803093944,435,90
239,5.4515113059585145,434,89
240,5.449925377019217,435,94
241,5.472985558061196,438,98
242,5.40523845854553,446,106
243,5.450766204030856,448,97
244,5.4794538472943195,447,93
245,5.503773070613417,449,101
246,5.571550691718305,448,98
247,5.6523214709234235,449,94
248,5.668077461143131,447,96
249,5.685726543108787,450,94
250,5.701445805544923,451,96
251,5.6530976011714404,457,92
252,5.581520442781674,457,93
253,5.518401504419314,458,93
254,5.45734147507662,459,91
255,5.28511705981379,459,86
256,5.2270405389544505,460,91
257,5.163253633449871,465,95
258,5.112621985119625,464,91
259,5.07285462245224,467,96
260,5.031500423275596,470,94
261,5.086274093079322,469,89
262,5.117689929313357,470,87
263,5.125648018397385,471,88
264,5.118108648336536,475,95
265,5.129420053394442,477,97
266,5.0733185013152164,476,92
267,5.023467568784072,481,94
268,4.99801406232638,483,98
269,5.020633152427634,484,98
270,4.9893810601090465,486,107
271,4.983404994413252,492,116
272,4.979212958392586,493,109
273,5.114940339556702,494,108
274,5.071336289697069,496,104
275,5.083764192905784,497,102
276,5.026066125340574,500,104
277,4.931675900523705,503,104
278,4.912355828496391,501,109
279,4.855070379948337,502,118
280,4.852253645419436,502,114
281,4.893069085573749,502,116
282,4.782515491150882,506,117
283,4.741534666924573,506,115
284,4.674705992361025,499,109
285,4.652752552557387,504,119
286,4.654670098914948,506,111
287,4.661538701825097,504,109
288,4.67522898329112,505,114
289,4.621267666489039,504,111
290,4.553424346220091,506,114
291,4.486719401577414,508,117
292,4.501030161195593,509,114
293,4.445201647617355,516,116
294,4.526161825770803,517,116
295,4.4890239956648506,516,115
296,4.4238782060337405,524,122
297,4.463474450534711,526,116
298,4.537378373115884,527,122
299,4.5383372725152515,528,126
300,4.529461959468623,533,133
301,4.648533794811463,532,132
302,4.666605668457306,533,134
303,4.625432685154102,532,130
304,4.611512266250148,532,128
305,4.5871996582843595,533,130
306,4.582750718345392,534,130
307,4.58091048587134,535,130
308,4.619285753996778,537,127
309,4.606116997134578,537,127
310,4.520980218176224,536,129
311,4.411770198985641,537,129
312,4.311239897033419,537,129
313,4.3226020621482055,537,127
314,4.321321423629338,534,132
315,4.30354480431342,536,133
316,4.307850292448402,537,139
317,4.316464504622055,538,133
318,4.331287268869747,540,127
319,4.346471763776838,540,130
320,4.346516533865217,537,122
321,4.3308115672570064,539,117
322,4.360876228589858,538,117
323,4.404961861812078,541,109
324,4.440508418387531,543,111
325,4.524848096025744,544,110
326,4.527643437659733,541,108
327,4.425675099603298,544,117
328,4.4007859627140125,544,116
329,4.352129011212131,546,127
330,4.357762666314721,547,129
331,4.2810218487064455,547,138
332,4.285844275511869,549,140
333,4.267360466523342,548,138
334,4.20333401707524,552,149
335,4.216190273119185,552,148
336,4.153366914537187,554,159
337,4.113587350854237,557,159
338,4.089312263629504,560,168
339,4.047790064311975,561,174
340,4.0015052583209645,560,172
341,3.953388389216873,564,181
342,3.938286659250767,567,180
343,3.9380385533532154,562,176
344,3.9541826163017526,566,184
345,3.9188938505818727,563,186
346,3.907419360385736,562,182
347,3.9186795597678525,566,188
348,3.9116672370545817,564,182
349,3.90211424753202,566,180
350,3.9223229577499206,567,185
351,3.9220715931233228,570,187
352,3.857184530567072,569,187
353,3.8399079735858597,574,200
354,3.863072588646645,574,198
355,3.8745736212346467,575,205
356,3.84339856869562,576,204
357,3.796408433975976,579,212
358,3.75065963469544,585,215
359,3.794086987282001,584,218
360,3.782591096014833,588,224
361,3.8172229477088853,590,226
362,3.8582971852616104,591,228
363,3.8819647480435178,591,232
364,3.8616304506998267,593,237
365,3.8573804655190433,593,230
366,3.803952935420685,594,233
367,3.7708086193057317,594,236
368,3.755185674765869,593,237
369,3.7288351927962395,593,245
370,3.66046418371408,594,250
371,3.67903842157804,592,247
372,3.643864377462488,593,248
373,3.653883618167514,597,250
374,3.644235375585552,597,257
375,3.5668182513433266,598,262
376,3.535252735904423,598,261
377,3.539868839935543,601,265
378,3.5095250444230333,603,264
379,3.4687138716577053,601,258
380,3.4603061843682306,605,254
381,3.481086271290845,606,248
382,3.519814414751737,607,249
383,3.4764908342466154,610,246
384,3.497346448172981,610,236
385,3.5484442918756973,612,241
386,3.58011012569711,613,237
387,3.6133213523446543,616,235
388,3.62397041449468,617,235
389,3.6168720504467404,621,238
390,3.649816947983712,624,236
391,3.6675202133602984,629,240
392,3.7502001921815746,630,237
393,3.7666384723723825,629,238
394,3.7892730914987975,631,242
395,3.7566768928742866,632,247
396,3.753376778446143,632,244
