time,tls,phase,qi,qj,ai
15,A1,0,1,0,0
15,A1,1,0,0,0
15,A1,2,0,0,0
15,A1,3,0,0,0
15,B0,0,0,1,0
15,B0,1,0,1,0
15,B0,2,0,1,0
15,B0,3,0,1,0
15,B1,0,2,0,0
15,B1,1,0,0,0
15,B1,2,0,0,0
15,B1,3,0,0,0
15,B2,0,0,0,0
15,B2,1,0,0,0
15,B2,2,0,0,0
15,B2,3,0,0,0
15,C1,0,0,1,0
15,C1,1,0,0,0
15,C1,2,0,1,0
15,C1,3,0,0,0
16,A1,0,0,0,18
16,A1,1,0,0,2
16,A1,2,0,0,12
16,A1,3,0,0,2
16,B0,0,0,0,18
16,B0,1,0,0,2
16,B0,2,0,0,12
16,B0,3,0,0,2
16,B1,0,0,0,26
16,B1,1,0,0,0
16,B1,2,2,0,26
16,B1,3,0,0,0
16,B2,0,1,0,18
16,B2,1,0,0,2
16,B2,2,0,0,12
16,B2,3,0,0,2
16,C1,0,0,1,18
16,C1,1,0,1,2
16,C1,2,0,1,12
16,C1,3,0,1,2
17,A1,0,0,1,36
17,A1,1,0,0,4
17,A1,2,0,0,24
17,A1,3,0,0,4
17,B0,0,0,0,36
17,B0,1,0,0,4
17,B0,2,0,0,24
17,B0,3,0,0,4
17,B2,0,0,0,36
17,B2,1,0,0,4
17,B2,2,1,0,24
17,B2,3,0,0,4
17,C1,0,0,0,36
17,C1,1,0,0,4
17,C1,2,0,0,24
17,C1,3,0,0,4
18,A1,0,1,0,54
18,A1,1,0,0,6
18,A1,2,0,0,36
18,A1,3,0,0,6
18,B0,0,0,2,54
18,B0,1,0,1,6
18,B0,2,0,1,36
18,B0,3,0,1,6
18,B2,0,0,0,54
18,B2,1,0,0,6
18,B2,2,0,0,36
18,B2,3,0,0,6
18,C1,0,0,1,54
18,C1,1,0,0,6
18,C1,2,0,1,36
18,C1,3,0,0,6
19,A1,0,0,0,72
19,A1,1,0,0,8
19,A1,2,0,0,48
19,A1,3,0,0,8
19,B0,0,0,0,72
19,B0,1,0,0,8
19,B0,2,0,0,48
19,B0,3,0,0,8
19,B2,0,1,0,72
19,B2,1,0,0,8
19,B2,2,0,0,48
19,B2,3,0,0,8
19,C1,0,0,1,72
19,C1,1,0,1,8
19,C1,2,0,1,48
19,C1,3,0,1,8
20,A1,0,0,1,90
20,A1,1,0,0,10
20,A1,2,0,0,60
20,A1,3,0,0,10
20,B0,0,0,0,90
20,B0,1,0,0,10
20,B0,2,0,0,60
20,B0,3,0,0,10
20,B2,0,0,0,90
20,B2,1,0,0,10
20,B2,2,1,0,60
20,B2,3,0,0,10
20,C1,0,0,0,90
20,C1,1,0,0,10
20,C1,2,0,0,60
20,C1,3,0,0,10
21,A1,0,1,0,108
21,A1,1,0,0,12
21,A1,2,0,0,72
21,A1,3,0,0,12
21,B0,0,0,1,108
21,B0,1,0,0,12
21,B0,2,0,0,72
21,B0,3,0,0,12
21,B2,0,0,1,108
21,B2,1,0,0,12
21,B2,2,0,1,72
21,B2,3,0,0,12
21,C1,0,0,1,108
21,C1,1,0,0,12
21,C1,2,0,1,72
21,C1,3,0,0,12
22,A1,0,0,0,126
22,A1,1,0,0,14
22,A1,2,0,0,84
22,A1,3,0,0,14
22,B0,0,0,0,126
22,B0,1,0,0,14
22,B0,2,0,0,84
22,B0,3,0,0,14
22,B2,0,0,0,126
22,B2,1,0,0,14
22,B2,2,0,0,84
22,B2,3,0,0,14
22,C1,0,0,1,126
22,C1,1,0,1,14
22,C1,2,0,1,84
22,C1,3,0,1,14
23,A1,0,0,0,144
23,A1,1,0,0,16
23,A1,2,0,0,96
23,A1,3,0,0,16
23,B0,0,1,0,144
23,B0,1,0,0,16
23,B0,2,0,0,96
23,B0,3,0,0,16
23,B2,0,0,0,144
23,B2,1,0,0,16
23,B2,2,1,0,96
23,B2,3,0,0,16
23,C1,0,0,0,144
23,C1,1,0,0,16
23,C1,2,0,0,96
23,C1,3,0,0,16
24,A1,0,1,1,162
24,A1,1,0,0,18
24,A1,2,0,0,108
24,A1,3,0,0,18
24,B0,0,0,1,162
24,B0,1,0,0,18
24,B0,2,0,0,108
24,B0,3,0,0,18
24,B2,0,0,1,162
24,B2,1,0,0,18
24,B2,2,0,1,108
24,B2,3,0,0,18
24,C1,0,0,1,162
24,C1,1,0,0,18
24,C1,2,0,1,108
24,C1,3,0,0,18
25,A1,0,0,0,180
25,A1,1,0,0,20
25,A1,2,0,0,120
25,A1,3,0,0,20
25,B0,0,0,0,180
25,B0,1,0,0,20
25,B0,2,0,0,120
25,B0,3,0,0,20
25,B2,0,0,1,180
25,B2,1,0,1,20
25,B2,2,0,1,120
25,B2,3,0,1,20
25,C1,0,0,1,180
25,C1,1,0,1,20
25,C1,2,0,1,120
25,C1,3,0,1,20
26,A1,0,0,0,198
26,A1,1,0,0,22
26,A1,2,0,0,132
26,A1,3,0,0,22
26,B0,0,1,0,198
26,B0,1,0,0,22
26,B0,2,0,0,132
26,B0,3,0,0,22
26,B2,0,0,0,198
26,B2,1,0,0,22
26,B2,2,0,0,132
26,B2,3,0,0,22
26,C1,0,0,0,198
26,C1,1,0,0,22
26,C1,2,0,0,132
26,C1,3,0,0,22
27,A1,0,1,1,216
27,A1,1,0,0,24
27,A1,2,0,0,144
27,A1,3,0,0,24
27,B0,0,0,0,216
27,B0,1,0,0,24
27,B0,2,0,0,144
27,B0,3,0,0,24
27,B2,0,2,2,216
27,B2,1,1,1,24
27,B2,2,1,2,144
27,B2,3,1,1,24
27,C1,0,0,1,216
27,C1,1,0,0,24
27,C1,2,0,1,144
27,C1,3,0,0,24
28,A1,0,0,0,234
28,A1,1,0,0,26
28,A1,2,0,0,156
28,A1,3,0,0,26
28,B0,0,0,0,234
28,B0,1,0,0,26
28,B0,2,0,0,156
28,B0,3,0,0,26
28,B2,0,0,2,234
28,B2,1,0,2,26
28,B2,2,0,2,156
28,B2,3,0,2,26
28,C1,0,0,1,234
28,C1,1,0,1,26
28,C1,2,0,1,156
28,C1,3,0,1,26
29,A1,0,0,1,252
29,A1,1,0,1,28
29,A1,2,0,1,168
29,A1,3,0,1,28
29,B0,0,1,0,252
29,B0,1,0,0,28
29,B0,2,0,0,168
29,B0,3,0,0,28
29,B2,0,0,1,252
29,B2,1,0,1,28
29,B2,2,0,1,168
29,B2,3,0,1,28
29,C1,0,0,0,252
29,C1,1,0,0,28
29,C1,2,0,0,168
29,C1,3,0,0,28
30,A1,0,1,2,270
30,A1,1,0,0,30
30,A1,2,0,1,180
30,A1,3,0,0,30
30,B0,0,0,0,270
30,B0,1,0,0,30
30,B0,2,0,0,180
30,B0,3,0,0,30
30,B2,0,2,1,270
30,B2,1,1,1,30
30,B2,2,1,1,180
30,B2,3,1,1,30
30,C1,0,0,1,270
30,C1,1,0,0,30
30,C1,2,0,1,180
30,C1,3,0,0,30
31,A1,0,0,0,288
31,A1,1,0,0,32
31,A1,2,0,0,192
31,A1,3,0,0,32
31,B0,0,0,0,288
31,B0,1,0,0,32
31,B0,2,0,0,192
31,B0,3,0,0,32
31,B1,0,4,0,26
31,B1,1,0,0,0
31,B1,2,2,0,26
31,B1,3,0,0,0
31,B2,0,0,2,288
31,B2,1,0,2,32
31,B2,2,0,2,192
31,B2,3,0,2,32
31,C1,0,2,1,288
31,C1,1,1,1,32
31,C1,2,1,1,192
31,C1,3,1,1,32
32,A1,0,0,0,306
32,A1,1,0,0,34
32,A1,2,0,0,204
32,A1,3,0,0,34
32,B0,0,0,0,306
32,B0,1,0,0,34
32,B0,2,0,0,204
32,B0,3,0,0,34
32,B2,0,0,0,306
32,B2,1,0,0,34
32,B2,2,0,0,204
32,B2,3,0,0,34
32,C1,0,0,0,306
32,C1,1,0,0,34
32,C1,2,1,0,204
32,C1,3,0,0,34
33,A1,0,0,1,324
33,A1,1,0,0,36
33,A1,2,0,1,216
33,A1,3,0,0,36
33,B0,0,0,0,324
33,B0,1,0,0,36
33,B0,2,0,0,216
33,B0,3,0,0,36
33,B2,0,2,0,324
33,B2,1,1,0,36
33,B2,2,1,0,216
33,B2,3,1,0,36
33,C1,0,0,1,324
33,C1,1,0,0,36
33,C1,2,0,1,216
33,C1,3,0,0,36
34,A1,0,1,0,342
34,A1,1,0,0,38
34,A1,2,3,0,228
34,A1,3,0,0,38
34,B0,0,0,0,342
34,B0,1,0,0,38
34,B0,2,0,0,228
34,B0,3,0,0,38
34,B2,0,0,1,342
34,B2,1,0,1,38
34,B2,2,0,1,228
34,B2,3,0,1,38
34,C1,0,2,1,342
34,C1,1,1,1,38
34,C1,2,1,1,228
34,C1,3,1,1,38
35,A1,0,0,0,360
35,A1,1,0,0,40
35,A1,2,3,0,240
35,A1,3,0,0,40
35,B0,0,0,1,360
35,B0,1,0,0,40
35,B0,2,0,1,240
35,B0,3,0,0,40
35,B2,0,0,0,360
35,B2,1,0,0,40
35,B2,2,0,0,240
35,B2,3,0,0,40
35,C1,0,0,0,360
35,C1,1,0,0,40
35,C1,2,1,0,240
35,C1,3,0,0,40
36,A1,0,0,1,378
36,A1,1,0,0,42
36,A1,2,3,1,252
36,A1,3,0,0,42
36,B0,0,0,0,378
36,B0,1,0,0,42
36,B0,2,0,0,252
36,B0,3,0,0,42
36,B2,0,0,0,378
36,B2,1,0,0,42
36,B2,2,0,0,252
36,B2,3,0,0,42
36,C1,0,0,1,378
36,C1,1,0,0,42
36,C1,2,0,1,252
36,C1,3,0,0,42
37,A1,0,1,0,396
37,A1,1,0,0,44
37,A1,2,6,0,264
37,A1,3,0,0,44
37,B0,0,0,1,396
37,B0,1,0,1,44
37,B0,2,0,1,264
37,B0,3,0,1,44
37,B2,0,0,1,396
37,B2,1,0,1,44
37,B2,2,0,1,264
37,B2,3,0,1,44
37,C1,0,2,2,396
37,C1,1,1,1,44
37,C1,2,1,1,264
37,C1,3,1,1,44
38,A1,0,0,0,414
38,A1,1,0,0,46
38,A1,2,9,0,276
38,A1,3,0,0,46
38,B0,0,0,1,414
38,B0,1,0,0,46
38,B0,2,0,1,276
38,B0,3,0,0,46
38,B2,0,0,0,414
38,B2,1,0,0,46
38,B2,2,0,0,276
38,B2,3,0,0,46
38,C1,0,0,0,414
38,C1,1,0,0,46
38,C1,2,1,0,276
38,C1,3,0,0,46
39,A1,0,0,0,432
39,A1,1,0,0,48
39,A1,2,9,0,288
39,A1,3,0,0,48
39,B0,0,0,0,432
39,B0,1,0,0,48
39,B0,2,0,0,288
39,B0,3,0,0,48
39,B2,0,0,0,432
39,B2,1,0,0,48
39,B2,2,0,0,288
39,B2,3,0,0,48
39,C1,0,0,2,432
39,C1,1,0,0,48
39,C1,2,0,2,288
39,C1,3,0,0,48
40,A1,0,1,0,450
40,A1,1,0,0,50
40,A1,2,9,0,300
40,A1,3,0,0,50
40,B0,0,0,1,450
40,B0,1,0,1,50
40,B0,2,0,1,300
40,B0,3,0,1,50
40,B2,0,2,0,450
40,B2,1,1,0,50
40,B2,2,1,0,300
40,B2,3,1,0,50
40,C1,0,0,3,450
40,C1,1,0,1,50
40,C1,2,0,2,300
40,C1,3,0,1,50
46,B1,0,0,6,26
46,B1,1,0,0,0
46,B1,2,9,8,26
46,B1,3,0,0,0
55,A1,0,0,0,18
55,A1,1,0,0,2
55,A1,2,10,0,12
55,A1,3,0,0,2
55,B0,0,0,1,18
55,B0,1,0,1,2
55,B0,2,0,1,12
55,B0,3,0,1,2
55,B2,0,0,3,18
55,B2,1,0,1,2
55,B2,2,5,3,12
55,B2,3,0,1,2
55,C1,0,0,1,18
55,C1,1,0,0,2
55,C1,2,0,1,12
55,C1,3,0,0,2
56,B0,0,0,2,36
56,B0,1,0,1,4
56,B0,2,0,2,24
56,B0,3,0,1,4
56,C1,0,0,2,36
56,C1,1,0,0,4
56,C1,2,0,1,24
56,C1,3,0,0,4
57,B0,0,0,2,54
57,B0,1,0,1,6
57,B0,2,0,2,36
57,B0,3,0,1,6
57,C1,0,0,0,54
57,C1,1,0,0,6
57,C1,2,0,0,36
57,C1,3,0,0,6
58,B0,0,0,2,72
58,B0,1,0,1,8
58,B0,2,0,2,48
58,B0,3,0,1,8
58,C1,0,0,0,72
58,C1,1,0,0,8
58,C1,2,0,0,48
58,C1,3,0,0,8
59,B0,0,0,3,90
59,B0,1,0,1,10
59,B0,2,1,3,60
59,B0,3,0,1,10
59,C1,0,2,1,90
59,C1,1,1,0,10
59,C1,2,4,0,60
59,C1,3,1,0,10
60,B0,0,0,3,108
60,B0,1,0,2,12
60,B0,2,1,3,72
60,B0,3,0,2,12
60,C1,0,0,0,108
60,C1,1,0,0,12
60,C1,2,3,0,72
60,C1,3,0,0,12
61,B0,0,0,3,126
61,B0,1,0,2,14
