time,tls,phase,q_up,q_down,max_age,beta,gamma,pressure
15,A1,0,1,0,0,0.3,0.1,1.0
15,A1,1,0,0,0,0.3,0.1,0.0
15,A1,2,0,0,0,0.3,0.1,0.0
15,A1,3,0,0,0,0.3,0.1,0.0
15,B0,0,0,1,0,0.9,0.1,-0.9
15,B0,1,0,1,0,0.9,0.1,-0.9
15,B0,2,0,1,0,0.9,0.1,-0.9
15,B0,3,0,1,0,0.9,0.1,-0.9
15,B1,0,2,0,0,0.3,0.1,2.0
15,B1,2,0,0,0,0.3,0.1,0.0
15,B2,0,0,0,0,0.3,0.1,0.0
15,B2,1,0,0,0,0.3,0.1,0.0
15,B2,2,0,0,0,0.3,0.1,0.0
15,B2,3,0,0,0,0.3,0.1,0.0
15,C1,0,0,1,0,0.9,0.1,-0.9
15,C1,1,0,0,0,0.3,0.1,0.0
15,C1,2,0,1,0,0.9,0.1,-0.9
15,C1,3,0,0,0,0.3,0.1,0.0
16,A1,0,0,0,3,0.3,0.1,0.30000000000000004
16,A1,1,0,0,2,0.3,0.1,0.2
16,A1,2,0,0,3,0.3,0.1,0.30000000000000004
16,A1,3,0,0,2,0.3,0.1,0.2
16,B0,0,0,0,3,0.3,0.1,0.30000000000000004
16,B0,1,0,0,2,0.3,0.1,0.2
16,B0,2,0,0,3,0.3,0.1,0.30000000000000004
16,B0,3,0,0,2,0.3,0.1,0.2
16,B1,0,0,0,3,0.3,0.1,0.30000000000000004
16,B1,2,2,0,3,0.3,0.1,2.3
16,B2,0,1,0,3,0.3,0.1,1.3
16,B2,1,0,0,2,0.3,0.1,0.2
16,B2,2,0,0,3,0.3,0.1,0.30000000000000004
16,B2,3,0,0,2,0.3,0.1,0.2
16,C1,0,0,1,3,0.9,0.1,-0.6
16,C1,1,0,1,2,0.9,0.1,-0.7
16,C1,2,0,1,3,0.9,0.1,-0.6
16,C1,3,0,1,2,0.9,0.1,-0.7
17,A1,0,0,1,6,0.9,0.1,-0.29999999999999993
17,A1,1,0,0,4,0.3,0.1,0.4
17,A1,2,0,0,6,0.3,0.1,0.6000000000000001
17,A1,3,0,0,4,0.3,0.1,0.4
17,B0,0,0,0,6,0.3,0.1,0.6000000000000001
17,B0,1,0,0,4,0.3,0.1,0.4
17,B0,2,0,0,6,0.3,0.1,0.6000000000000001
17,B0,3,0,0,4,0.3,0.1,0.4
17,B2,0,0,0,6,0.3,0.1,0.6000000000000001
17,B2,1,0,0,4,0.3,0.1,0.4
17,B2,2,1,0,6,0.3,0.1,1.6
17,B2,3,0,0,4,0.3,0.1,0.4
17,C1,0,0,0,6,0.3,0.1,0.6000000000000001
17,C1,1,0,0,4,0.3,0.1,0.4
17,C1,2,0,0,6,0.3,0.1,0.6000000000000001
17,C1,3,0,0,4,0.3,0.1,0.4
18,B0,0,0,2,9,0.9,0.15,-0.4500000000000002
18,B0,1,0,1,6,0.9,0.1,-0.29999999999999993
18,B0,2,0,1,9,0.9,0.15,0.44999999999999984
18,B0,3,0,1,6,0.9,0.1,-0.29999999999999993
18,C1,0,0,1,9,0.9,0.15,0.44999999999999984
18,C1,1,0,0,6,0.3,0.1,0.6000000000000001
18,C1,2,0,1,9,0.9,0.15,0.44999999999999984
18,C1,3,0,0,6,0.3,0.1,0.6000000000000001
31,B1,0,4,0,3,0.3,0.1,4.3
31,B1,2,2,0,3,0.3,0.1,2.3
32,A1,0,3,0,3,0.3,0.1,3.3
32,A1,1,0,0,2,0.3,0.1,0.2
