time,tls,prev_phase,new_phase,switch_reason
16,B1,0,2,PRESSURE
17,A1,0,2,PRESSURE
17,B2,0,2,PRESSURE
18,B0,0,2,PRESSURE
18,C1,0,1,PRESSURE
31,B1,2,0,PRESSURE
32,A1,2,0,PRESSURE
32,B2,2,0,PRESSURE
33,B0,2,0,PRESSURE
33,C1,2,1,PRESSURE
46,B1,0,2,PRESSURE
47,A1,0,2,PRESSURE
47,B2,0,2,PRESSURE
48,C1,2,1,PRESSURE
49,B0,0,2,PRESSURE
61,B1,2,0,PRESSURE
62,A1,2,0,PRESSURE
62,B2,2,1,PRESSURE
63,C1,2,0,PRESSURE
64,B0,2,0,PRESSURE
76,B1,0,2,PRESSURE
77,A1,0,2,PRESSURE
77,B2,2,0,PRESSURE
78,C1,0,2,PRESSURE
79,B0,0,2,PRESSURE
91,B1,2,0,PRESSURE
92,A1,2,0,PRESSURE
92,B2,0,2,PRESSURE
93,C1,2,0,PRESSURE
94,B0,2,0,PRESSURE
106,B1,0,2,PRESSURE
107,A1,0,2,PRESSURE
107,B2,2,0,PRESSURE
108,C1,0,2,PRESSURE
109,B0,0,2,PRESSURE
121,B1,2,0,PRESSURE
122,A1,2,0,PRESSURE
122,B2,0,2,PRESSURE
123,C1,2,0,PRESSURE
124,B0,2,0,PRESSURE
136,B1,0,2,PRESSURE
137,A1,0,2,PRESSURE
137,B2,2,0,PRESSURE
139,B0,0,2,PRESSURE
143,C1,0,2,PRESSURE
152,A1,2,0,PRESSURE
152,B1,2,0,PRESSURE
152,B2,0,2,PRESSURE
154,B0,2,0,PRESSURE
158,C1,2,0,PRESSURE
167,A1,0,2,PRESSURE
167,B1,0,2,PRESSURE
167,B2,2,0,PRESSURE
169,B0,0,2,PRESSURE
180,C1,0,2,PRESSURE
182,A1,2,0,PRESSURE
182,B1,2,0,PRESSURE
182,B2,0,2,PRESSURE
184,B0,2,0,PRESSURE
195,C1,2,0,PRESSURE
197,B1,0,2,PRESSURE
197,B2,2,0,PRESSURE
199,B0,0,2,PRESSURE
201,A1,0,2,PRESSURE
212,B1,2,0,PRESSURE
212,B2,0,2,PRESSURE
214,B0,2,0,PRESSURE
216,A1,2,0,PRESSURE
227,B1,0,2,PRESSURE
227,B2,2,0,PRESSURE
229,B0,0,2,PRESSURE
231,A1,0,2,PRESSURE
235,C1,0,0,TMAX
242,B1,2,0,PRESSURE
242,B2,0,2,PRESSURE
244,B0,2,0,PRESSURE
246,A1,2,0,PRESSURE
250,C1,0,2,PRESSURE
257,B1,0,2,PRESSURE
257,B2,2,0,PRESSURE
261,A1,0,2,PRESSURE
265,C1,2,0,PRESSURE
272,B2,0,2,PRESSURE
273,B0,0,2,PRESSURE
276,A1,2,0,PRESSURE
279,B1,2,0,PRESSURE
280,C1,0,2,PRESSURE
287,B2,2,0,PRESSURE
288,B0,2,0,PRESSURE
291,A1,0,2,PRESSURE
294,B1,0,2,PRESSURE
295,C1,2,0,PRESSURE
302,B2,0,2,PRESSURE
304,B0,0,2,PRESSURE
306,A1,2,0,PRESSURE
309,B1,2,0,PRESSURE
317,B2,2,0,PRESSURE
319,B0,2,0,PRESSURE
322,A1,0,2,PRESSURE
324,B1,0,2,PRESSURE
332,B2,0,2,PRESSURE
334,B0,0,2,PRESSURE
335,C1,0,0,TMAX
337,A1,2,0,PRESSURE
340,B1,2,0,PRESSURE
347,B2,2,0,PRESSURE
349,B0,2,0,PRESSURE
355,B1,0,2,PRESSURE
356,A1,0,2,PRESSURE
362,B2,0,2,PRESSURE
371,A1,2,0,PRESSURE
375,B0,0,2,PRESSURE
375,C1,0,0,TMAX
377,B2,2,0,PRESSURE
386,A1,0,2,PRESSURE
389,B1,2,0,PRESSURE
390,B0,2,0,PRESSURE
392,B2,0,2,PRESSURE
404,B1,0,2,PRESSURE
407,B2,2,0,PRESSURE
410,A1,2,0,PRESSURE
410,B0,0,2,PRESSURE
415,C1,0,0,TMAX
421,B1,2,0,PRESSURE
422,B2,0,2,PRESSURE
425,B0,2,0,PRESSURE
432,A1,0,2,PRESSURE
433,C1,0,2,PRESSURE
436,B1,0,2,PRESSURE
437,B2,2,0,PRESSURE
444,B0,0,2,PRESSURE
447,A1,2,0,PRESSURE
448,C1,2,0,PRESSURE
452,B2,0,2,PRESSURE
462,B0,2,0,PRESSURE
466,B1,2,0,PRESSURE
467,B2,2,0,PRESSURE
472,A1,0,2,PRESSURE
481,B1,0,2,PRESSURE
482,B2,0,2,PRESSURE
483,B0,0,2,PRESSURE
487,A1,2,0,PRESSURE
488,C1,0,0,TMAX
